"Label (Grouping)","Richland County, South Carolina!!Estimate","Richland County, South Carolina!!Margin of Error"
"Total:","55,011","±1,478"
"    Less than 10.0 percent","1,447","±274"
"    10.0 to 14.9 percent","3,776","±465"
"    15.0 to 19.9 percent","6,398","±574"
"    20.0 to 24.9 percent","6,808","±655"
"    25.0 to 29.9 percent","6,337","±621"
"    30.0 to 34.9 percent","4,657","±459"
"    35.0 to 39.9 percent","3,450","±406"
"    40.0 to 49.9 percent","4,080","±482"
"    50.0 percent or more","13,280","±904"
"    Not computed","4,778","±495"
