observation_date,MHISC45079A052NCEN
1989-01-01,26387
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,31148
1994-01-01,
1995-01-01,34387
1996-01-01,
1997-01-01,35903
1998-01-01,36884
1999-01-01,37611
2000-01-01,40999
2001-01-01,40034
2002-01-01,39587
2003-01-01,39811
2004-01-01,40025
2005-01-01,43250
2006-01-01,45236
2007-01-01,47787
2008-01-01,49653
2009-01-01,45643
2010-01-01,45944
2011-01-01,45182
2012-01-01,47606
2013-01-01,47492
2014-01-01,49782
2015-01-01,51065
2016-01-01,51973
2017-01-01,52187
2018-01-01,52611
2019-01-01,52905
2020-01-01,56993
2021-01-01,56940
2022-01-01,61010
2023-01-01,61508
2024-01-01,66644
